caseId,marginCurrent_m0,marginHybrid_m0,marginAbsolute_m0,marginCurrent_m1,marginHybrid_m1,marginAbsolute_m1,marginCurrent_m2,marginHybrid_m2,marginAbsolute_m2,marginCurrent_m3,marginHybrid_m3,marginAbsolute_m3
sd04p0_alt90p0_raz090p0_aod0p150,-0.3265804021507591,-0.3214869240462871,-2.9306702532021345,-1.3265804021507592,-1.3214869240462872,-3.9306702532021345,-2.3265804021507592,-2.321486924046287,-4.930670253202134,-3.3265804021507592,-3.321486924046287,-5.930670253202134
sd04p0_alt90p0_raz180p0_aod0p150,-0.3265804021507591,-0.3265804021507591,-2.9358512860147674,-1.3265804021507592,-1.3265804021507592,-3.9358512860147674,-2.3265804021507592,-2.3265804021507592,-4.935851286014767,-3.3265804021507592,-3.3265804021507592,-5.935851286014767
sd06p0_alt30p0_raz000p0_aod0p150,0.8448246896904227,,-2.4869559585454692,-0.15517531030957732,,-3.4869559585454692,-1.1551753103095774,,-4.486955958545469,-2.1551753103095774,,-5.486955958545469
sd06p0_alt30p0_raz090p0_aod0p150,1.19800625121908,,-1.1284321105855484,0.1980062512190801,,-2.1284321105855484,-0.8019937487809199,,-3.1284321105855484,-1.80199374878092,,-4.128432110585548
sd06p0_alt30p0_raz180p0_aod0p150,1.2558802438329288,,-0.6902768778411751,0.25588024383292884,,-1.6902768778411752,-0.7441197561670712,,-2.690276877841175,-1.7441197561670712,,-3.690276877841175
sd08p0_alt10p0_raz000p0_aod0p150,2.169330033618651,-0.7512309264340334,-2.2377970774458302,1.169330033618651,-1.7512309264340336,-3.2377970774458302,0.16933003361865095,-2.7512309264340336,-4.23779707744583,-0.830669966381349,-3.7512309264340336,-5.23779707744583
sd08p0_alt10p0_raz090p0_aod0p150,2.7531915566850826,2.0875432283752366,0.6685248105970226,1.7531915566850826,1.0875432283752366,-0.3314751894029774,0.7531915566850826,0.08754322837523665,-1.3314751894029775,-0.24680844331491736,-0.9124567716247634,-2.3314751894029775
sd08p0_alt10p0_raz180p0_aod0p150,2.8136631629267943,2.437575669539956,1.0369740474041191,1.8136631629267943,1.4375756695399562,0.03697404740411914,0.8136631629267943,0.4375756695399562,-0.9630259525958809,-0.1863368370732057,-0.5624243304600438,-1.9630259525958809
sd08p0_alt30p0_raz000p0_aod0p150,2.658964292683357,1.1153583273849272,-0.3409285324074659,1.6589642926833572,0.11535832738492724,-1.340928532407466,0.6589642926833572,-0.8846416726150728,-2.340928532407466,-0.3410357073166428,-1.8846416726150728,-3.340928532407466
sd08p0_alt30p0_raz090p0_aod0p150,2.96740490989956,2.553030318533889,1.150931421594524,1.9674049098995599,1.5530303185338892,0.1509314215945241,0.9674049098995599,0.5530303185338892,-0.8490685784054759,-0.03259509010044015,-0.4469696814661108,-1.849068578405476
sd08p0_alt30p0_raz180p0_aod0p150,3.019297858658462,2.688203284291791,1.2937366315712668,2.019297858658462,1.6882032842917911,0.29373663157126684,1.019297858658462,0.6882032842917911,-0.7062633684287332,0.019297858658462008,-0.3117967157082089,-1.7062633684287332
sd08p0_alt60p0_raz000p0_aod0p150,2.985209029265729,2.6670403640991025,1.269101233179931,1.9852090292657292,1.6670403640991025,0.26910123317993095,0.9852090292657292,0.6670403640991025,-0.730898766820069,-0.014790970734270825,-0.3329596359008975,-1.730898766820069
sd08p0_alt60p0_raz090p0_aod0p150,3.0733045939980657,3.0718314624050795,1.6992072070021105,2.0733045939980657,2.0718314624050795,0.6992072070021105,1.0733045939980657,1.0718314624050795,-0.3007927929978895,0.07330459399806566,0.07183146240507954,-1.3007927929978895
sd08p0_alt60p0_raz180p0_aod0p150,3.107976304063189,3.2740662293180374,1.916460150449376,2.107976304063189,2.2740662293180374,0.9164601504493759,1.1079763040631891,1.2740662293180374,-0.0835398495506241,0.10797630406318914,0.27406622931803737,-1.083539849550624
sd08p0_alt90p0_raz000p0_aod0p150,3.095464620487571,3.187207640886269,1.8222406487326182,2.095464620487571,2.187207640886269,0.8222406487326182,1.0954646204875709,1.1872076408862688,-0.17775935126738185,0.09546462048757087,0.18720764088626884,-1.1777593512673818
sd08p0_alt90p0_raz090p0_aod0p150,3.095464620487571,3.186123355981128,1.821076022688271,2.095464620487571,2.186123355981128,0.821076022688271,1.0954646204875709,1.186123355981128,-0.17892397731172904,0.09546462048757087,0.18612335598112795,-1.178923977311729
sd08p0_alt90p0_raz180p0_aod0p150,3.095464620487571,3.095464620487571,1.7238743563004593,2.095464620487571,2.095464620487571,0.7238743563004593,1.0954646204875709,1.0954646204875709,-0.27612564369954073,0.09546462048757087,0.09546462048757087,-1.2761256436995407
sd09p0_alt90p0_raz000p0_aod0p150,3.9173974656489867,3.9173974656489867,2.6376150782661862,2.9173974656489867,2.9173974656489867,1.6376150782661862,1.9173974656489867,1.9173974656489867,0.6376150782661862,0.9173974656489867,0.9173974656489867,-0.36238492173381376
sd10p0_alt90p0_raz000p0_aod0p150,4.682648781630607,4.682648781630607,3.435875733730851,3.682648781630607,3.682648781630607,2.435875733730851,2.682648781630607,2.682648781630607,1.435875733730851,1.6826487816306068,1.6826487816306068,0.435875733730851
sd12p0_alt90p0_raz000p0_aod0p150,5.9801501814633555,5.9801501814633555,4.78287820760612,4.9801501814633555,4.9801501814633555,3.78287820760612,3.9801501814633555,3.9801501814633555,2.78287820760612,2.9801501814633555,2.9801501814633555,1.78287820760612
