caseId,group,sunDepressionDeg,targetGeometricAltitudeDeg,relativeAzimuthDeg,angularSeparationDeg,aod550,currentTwilightNl,hybridTwilightNl,absoluteTwilightNl,absoluteRelUncert,lutDirectionalRatio,currentTotalSkyMag,hybridTotalSkyMag,absoluteTotalSkyMag,currentNELM,hybridNELM,absoluteNELM,absMinusCurrentDex,absMinusCurrentNELMMag,hybMinusCurrentDex,hybMinusCurrentNELMMag
sd02p0_alt30p0_raz090p0_aod0p150,sensitivity-depression,2,30,90,91.0,0.15,887936.5795685848,,19122597.518499542,0.007396886887261117,,11.46014608226036,,8.127361079289276,-2.310305961930505,,-5.627062604627703,1.3331649367310288,-3.316756642697198,,
sd02p0_alt30p0_raz180p0_aod0p150,sensitivity-depression,2,30,180,152.0,0.15,836564.8649479311,,19963249.08420124,0.007835888053945824,,11.52484467037516,,8.080650745561,-2.2462229162220653,,-5.673678890869352,1.3777316049454837,-3.427455974647287,,
sd04p0_alt10p0_raz000p0_aod0p050,sensitivity-aod,4,10,0,14.0,0.05,388200.5576062022,,51104244.77414549,0.0044256859535938085,,12.358054414112358,,7.060094029038353,-1.4227970937494825,,-6.69261305902892,2.119400819737173,-5.269815965279438,,
sd04p0_alt10p0_raz000p0_aod0p150,core,4,10,0,14.0,0.15,388200.5576062022,3028578.577477274,34638137.60747725,0.005393260396694554,21.82083529450321,12.358054414112358,10.128057827816198,7.482345552262419,-1.4227970937494825,-3.633040449711834,-6.270942166141689,1.9504983783465564,-4.848145072392207,0.8921826911923976,-2.2102433559623513
sd04p0_alt10p0_raz000p0_aod0p300,sensitivity-aod,4,10,0,14.0,0.3,388200.5576062022,,18536199.092433963,0.00706103782102253,,12.358054414112358,,8.161170798524214,-1.4227970937494825,,-5.593322229165722,1.6789645305819487,-4.17052513541624,,
sd04p0_alt10p0_raz090p0_aod0p150,core,4,10,90,90.69,0.15,198681.06048584988,319161.2306534304,3650276.967736447,0.008365220182252803,2.299548936346431,13.084811471989303,12.570557538791347,9.925352872939438,-0.7081827499484262,-1.2134410995409142,-3.8347585750674953,1.2641693487217145,-3.126575825119069,0.2058536615675557,-0.5052583495924879
sd04p0_alt10p0_raz180p0_aod0p050,sensitivity-aod,4,10,180,174.0,0.05,186254.36310928527,,1921820.0654727805,0.011014142763354542,,13.15486945464141,,10.621832192592176,-0.6395201912100944,,-3.1420906440189165,1.0136062683603706,-2.502570452808822,,
sd04p0_alt10p0_raz180p0_aod0p150,core,4,10,180,174.0,0.15,186254.36310928527,157610.35154178875,1802604.39193056,0.011846737341169427,1.1355787653252425,13.15486945464141,13.335979080904425,10.691355658288574,-0.6395201912100944,-0.46222906167816225,-3.0730186588578445,0.9857939697396993,-2.43349846764775,-0.07252171741445945,0.17729112953193216
sd04p0_alt10p0_raz180p0_aod0p300,sensitivity-aod,4,10,180,174.0,0.3,186254.36310928527,,1634780.705398109,0.01282026407600987,,13.15486945464141,,10.797445971245265,-0.6395201912100944,,-2.967645566077709,0.943353048159083,-2.3281253748676143,,
sd04p0_alt20p0_raz090p0_aod0p150,sensitivity-altitude,4,20,90,91.37,0.15,173104.83493480942,284332.52794730733,3251937.8240879085,0.008957520766358047,2.048608976946539,13.234711340566749,12.696201506957062,10.050827276733518,-0.5613233241713406,-1.0898056577258086,-3.7098841713174058,1.2738330352604068,-3.148560847146065,0.2155173481062489,-0.528482333554468
